"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev"
4,0.04,0.025,2,0,0.0027600901041
4,0.04,0.025,2,0.1,0.0019039074133
4,0.04,0.025,2,0.2,0.00118443461969
4,0.04,0.025,2,0.3,0.000570749773877
4,0.04,0.025,2,0.4,2.79471079574e-05
4,0.04,0.025,2,0.5,1.10560766312e-269
4,0.04,0.025,2,0.6,3.15213882046715e-321
4,0.04,0.025,2,0.7,1.05730048210027e-321
4,0.04,0.025,2,0.8,1.05730048210027e-321
4,0.04,0.025,2,0.9,1.02271588689138e-321
4,0.04,0.025,2,1,1.09188507730915e-321
4,0.04,0.025,2,1.1,1.08200376439233e-321
4,0.04,0.025,2,1.2,1.07706310793392e-321
4,0.04,0.025,2,1.3,1.02765654334979e-321
4,0.04,0.025,2,1.4,1.16105426772693e-321
4,0.04,0.025,2,1.5,9.88131291682493e-322
4,0.04,0.025,2,1.6,1.26480805335359e-321
4,0.04,0.025,2,1.7,1.05730048210027e-321
4,0.04,0.025,2,1.8,9.98012604599318e-322
4,0.04,0.025,2,1.9,1.07706310793392e-321
4,0.04,0.025,2,2,1.12152901605963e-321
4,0.04,0.025,2,2.1,1.02765654334979e-321
4,0.04,0.025,2,2.2,6.12641400843146e-322
4,0.04,0.025,2,2.3,5.23709584591721e-322
4,0.04,0.025,2,2.4,6.12641400843146e-322
4,0.04,0.025,2,2.5,1.04247851272503e-321
4,0.04,0.025,2,2.6,1.08694442085074e-321
4,0.04,0.025,2,2.7,1.01777523043297e-321
4,0.04,0.025,2,2.8,1.12152901605963e-321
4,0.04,0.025,2,2.9,1.09188507730915e-321
4,0.04,0.025,2,3,1.12646967251804e-321
4,0.04,0.1,2,0,0.0027600901041
4,0.04,0.1,2,0.1,0.00183390822956
4,0.04,0.1,2,0.2,0.00105849402456
4,0.04,0.1,2,0.3,0.000400706609115
4,0.04,0.1,2,0.4,1.00074210612e-103
4,0.04,0.1,2,0.5,2.92486862338018e-321
4,0.04,0.1,2,0.6,1.35373986960502e-321
4,0.04,0.1,2,0.7,8.05327002721232e-322
4,0.04,0.1,2,0.8,6.91691904177745e-322
4,0.04,0.1,2,0.9,8.99199475431069e-322
4,0.04,0.1,2,1,8.05327002721232e-322
4,0.04,0.1,2,1.1,8.0038634626282e-322
