"R0","waneRate","OPVtrans","ramp","vaccRate","finalPrev","lambdaIoutReinfF","lambdaIoutReinf0t5F","lambdaIoutReinf5t15F","lambdaIoutReinf15p","lambdaIoutF","lambdaIout0t5F","lambdaIout5t15F","lambdaIout15p"
4,0.07,0.05,2,0,0.00306037235251,0.000209803045075,1.70970348688e-07,7.94472575021e-06,0.000201687348976,0.00238459135383,0.000716077735222,0.000815671628957,0.000852841989655
4,0.07,0.05,2,0.1,0.00215471813698,0.000175265524501,1.98892963981e-07,7.74864476636e-06,0.00016731798677,0.00164196437313,0.000434900100641,0.000478851839771,0.000728212432715
4,0.07,0.05,2,0.2,0.00139227041774,0.000133340464184,1.7114812981e-07,6.27377986712e-06,0.000126895536187,0.00103594070662,0.000241555931298,0.000249402616216,0.000544982159103
4,0.07,0.05,2,0.3,0.000741402747688,8.28868376525e-05,1.09366351096e-07,3.91021573188e-06,7.88672555695e-05,0.000537746423787,0.000110500196084,0.000104245519041,0.000323000708663
4,0.07,0.05,2,0.4,0.000174945924717,2.26198089703e-05,2.90997100435e-08,1.02868968839e-06,2.15620195718e-05,0.000123481340084,2.24375972518e-05,1.89359713047e-05,8.21077715272e-05
4,0.07,0.05,2,0.5,1.21642017303e-181,1.77453340706e-182,2.28250698288e-185,7.91981993163e-184,1.69305270076e-182,8.22864893444e-182,1.5861668244e-182,1.10651117146e-182,5.53597093858e-182
4,0.07,0.05,2,0.6,3.19166407213445e-321,4.64421707090772e-322,0,0,4.64421707090772e-322,2.01578783503229e-321,4.0019317313141e-322,3.45845952088873e-322,1.26974870981200e-321
4,0.07,0.05,2,0.7,2.60372595358337e-321,3.90311860214585e-322,0,0,3.90311860214585e-322,1.55136612794151e-321,2.81617418129511e-322,2.96439387504748e-322,9.73309322307256e-322
4,0.07,0.05,2,0.8,1.63535728773453e-321,2.61854792295861e-322,0,0,2.61854792295861e-322,8.84377506055831e-322,4.94065645841247e-323,1.92685601878086e-322,6.4228533959362e-322
4,0.07,0.05,2,0.9,1.35373986960502e-321,1.87744945419674e-322,0,0,1.87744945419674e-322,7.0157321709457e-322,9.88131291682493e-323,1.97626258336499e-322,4.05133829589822e-322
4,0.07,0.05,2,1,7.2133584292822e-322,1.28457067918724e-322,0,0,1.28457067918724e-322,3.01380043963160e-322,0,0,3.01380043963160e-322
4,0.07,0.05,2,1.1,6.8181059126092e-322,1.18575755001899e-322,0,0,1.18575755001899e-322,2.42092166462211e-322,0,0,2.42092166462211e-322
4,0.07,0.05,2,1.2,1.46243431169009e-321,2.37151510003798e-322,0,0,2.37151510003798e-322,7.55920438137107e-322,4.94065645841247e-323,1.92685601878086e-322,5.13828271674896e-322
4,0.07,0.05,2,1.3,9.48606040015193e-322,1.63041663127611e-322,0,0,1.63041663127611e-322,4.39718424798709e-322,0,0,4.39718424798709e-322
4,0.07,0.05,2,1.4,9.18962101264719e-322,1.67982319586024e-322,0,0,1.67982319586024e-322,4.44659081257122e-322,0,0,4.44659081257122e-322
4,0.07,0.05,2,1.5,9.8319063522408e-322,1.58101006669199e-322,0,0,1.58101006669199e-322,4.29837111881884e-322,0,0,4.29837111881884e-322
4,0.07,0.05,2,1.6,1.00789391751614e-321,1.58101006669199e-322,0,0,1.58101006669199e-322,4.29837111881884e-322,0,0,4.29837111881884e-322
4,0.07,0.05,2,1.7,1.00789391751614e-321,1.53160350210786e-322,0,0,1.53160350210786e-322,4.29837111881884e-322,0,0,4.29837111881884e-322
4,0.07,0.05,2,1.8,1.09188507730915e-321,1.82804288961261e-322,0,0,1.82804288961261e-322,4.64421707090772e-322,0,0,4.64421707090772e-322
4,0.07,0.05,2,1.9,8.2014897209647e-322,1.33397724377137e-322,0,0,1.33397724377137e-322,3.4090529563046e-322,0,0,3.4090529563046e-322
4,0.07,0.05,2,2,6.76869934802508e-322,1.08694442085074e-322,0,0,1.08694442085074e-322,3.6066792146411e-322,0,0,3.6066792146411e-322
4,0.07,0.05,2,2.1,1.07212245147551e-321,1.77863632502849e-322,0,0,1.77863632502849e-322,4.54540394173947e-322,0,0,4.54540394173947e-322
4,0.07,0.05,2,2.2,1.08694442085074e-321,1.72922976044436e-322,0,0,1.72922976044436e-322,4.49599737715534e-322,0,0,4.49599737715534e-322
4,0.07,0.05,2,2.3,1.06718179501709e-321,1.72922976044436e-322,0,0,1.72922976044436e-322,4.49599737715534e-322,0,0,4.49599737715534e-322
4,0.07,0.05,2,2.4,7.6086109459552e-322,1.23516411460312e-322,0,0,1.23516411460312e-322,3.8043054729776e-322,0,0,3.8043054729776e-322
4,0.07,0.05,2,2.5,1.05730048210027e-321,1.77863632502849e-322,0,0,1.77863632502849e-322,4.54540394173947e-322,0,0,4.54540394173947e-322
4,0.07,0.05,2,2.6,1.31915527439613e-321,2.27270197086973e-322,0,0,2.27270197086973e-322,5.13828271674896e-322,0,0,5.13828271674896e-322
4,0.07,0.05,2,2.7,9.98012604599318e-322,1.53160350210786e-322,0,0,1.53160350210786e-322,4.29837111881884e-322,0,0,4.29837111881884e-322
4,0.07,0.05,2,2.8,1.04247851272503e-321,1.77863632502849e-322,0,0,1.77863632502849e-322,4.59481050632359e-322,0,0,4.59481050632359e-322
4,0.07,0.05,2,2.9,1.15611361126852e-321,1.82804288961261e-322,0,0,1.82804288961261e-322,4.64421707090772e-322,0,0,4.64421707090772e-322
4,0.07,0.05,2,3,1.11164770314280e-321,1.82804288961261e-322,0,0,1.82804288961261e-322,4.64421707090772e-322,0,0,4.64421707090772e-322
6,0.07,0.05,2,0,0.00356545315135,0.000280694301292,4.05169682807e-07,1.58595582111e-05,0.000264429573398,0.00252328553978,0.00102980626082,0.000868338979882,0.000625140299077
6,0.07,0.05,2,0.1,0.00271312659041,0.000252190289077,4.09027457398e-07,1.45240818094e-05,0.00023725717981,0.00186599109177,0.000685381017846,0.000580266455881,0.000600343618043
6,0.07,0.05,2,0.2,0.00198834949167,0.000216567770152,3.63509227876e-07,1.23879173825e-05,0.000203816343542,0.00132695634632,0.000436141697158,0.000358531541233,0.000532283107932
6,0.07,0.05,2,0.3,0.00137389319682,0.00017358484137,2.87222991957e-07,9.62968736371e-06,0.000163667931014,0.000888669575857,0.000260662558234,0.000201659239981,0.000426347777641
6,0.07,0.05,2,0.4,0.000848700918353,0.000123009966826,1.9460359922e-07,6.4891371936e-06,0.000116326226033,0.000531580932029,0.000139157843097,9.86673430522e-05,0.00029375574588
6,0.07,0.05,2,0.5,0.000392333240917,6.45059605937e-05,9.56660606337e-08,3.18806656732e-06,6.12222279658e-05,0.000237776468462,5.56792666375e-05,3.54411644159e-05,0.000146656037408
6,0.07,0.05,2,0.6,1.37214285649e-18,2.52854719444e-19,3.48204271037e-22,1.16145043029e-20,2.4089201087e-19,8.03812133501e-19,1.70192319786e-19,9.55617208158e-20,5.38058092899e-19
6,0.07,0.05,2,0.7,1.56157524506e-233,3.0567928069e-234,4.26955452843e-237,1.39973582265e-235,2.91254967011e-234,8.75790460562e-234,2.09818912179e-234,9.37437261753e-235,5.72227822208e-234
6,0.07,0.05,2,0.8,4.09580420402393e-321,7.65801751053932e-322,0,9.88131291682493e-324,7.55920438137107e-322,2.21341409336878e-321,4.99006302299659e-322,3.06320700421573e-322,1.40808709064755e-321
6,0.07,0.05,2,0.9,2.21341409336878e-321,4.05133829589822e-322,0,0,4.05133829589822e-322,1.16599492418534e-321,2.81617418129511e-322,1.92685601878086e-322,6.91691904177745e-322
6,0.07,0.05,2,1,1.84286485898785e-321,3.35964639172048e-322,0,0,3.35964639172048e-322,9.48606040015193e-322,2.27270197086973e-322,1.92685601878086e-322,5.28650241050134e-322
6,0.07,0.05,2,1.1,1.79839895086214e-321,3.11261356879985e-322,0,0,3.11261356879985e-322,9.33784070639956e-322,2.42092166462211e-322,1.92685601878086e-322,4.99006302299659e-322
6,0.07,0.05,2,1.2,2.39621838233005e-321,4.44659081257122e-322,0,0,4.44659081257122e-322,1.24010477106153e-321,2.91498731046335e-322,2.02566914794911e-322,7.46039125220282e-322
